Personal_id,Nombre,Rut,Edad,Sexo,Tienda_id,Cargo
0,Catalina Luna,46251263-5,90,mujer,59,Empleado
1,Sergio Galaz,92310665-0,47,hombre,50,Empleado
2,Catalina Patino,77837095-6,55,mujer,88,Empleado
3,Nicolas Henriquez,66922079-0,70,mujer,69,Empleado
4,Magdalena Santibanez,79464991-k,74,hombre,66,Empleado
5,Lisandro Pinto,22997103-4,42,mujer,80,Empleado
6,Leonardo Bucarei,61890115-7,42,hombre,0,Empleado
7,Sofia Pena,45347413-5,29,hombre,101,Empleado
8,Valentina Gutierrez,54864080-6,75,hombre,45,Empleado
9,Simoney Mora,86447590-6,26,hombre,50,Empleado
10,Martin Bustos,45355149-0,54,hombre,34,Empleado
11,Diego Caniullan,19942007-0,89,hombre,90,Empleado
12,Yanara Carrasco,79263691-8,39,mujer,55,Empleado
13,Karla Castillo,32165632-3,38,mujer,38,Empleado
14,Yaimara Cisternas,66760004-9,83,hombre,79,Empleado
15,Pamela Figueroa,49326776-0,91,mujer,71,Empleado
16,Aritza Flores,97804380-1,67,mujer,5,Empleado
17,Giordano Flores,83399209-0,20,hombre,55,Empleado
18,Danae Gamboa,86260284-6,95,mujer,47,Empleado
19,Diego Guajardo,19209075-k,74,mujer,50,Empleado
20,Bayron Guzman,31653150-4,84,mujer,47,Empleado
21,Gabriela Jimenez,64100872-9,26,hombre,62,Empleado
22,Orlando Moraga,72629258-2,56,hombre,46,Empleado
23,Matias Moreno,17263415-k,13,mujer,40,Empleado
24,Matias Painequeo,18208603-7,85,mujer,93,Empleado
25,Sayenn Pavez,90414316-2,26,mujer,70,Empleado
26,Gonzalo Pino,16045471-7,88,mujer,89,Empleado
27,Benjamin Quilacan,28792266-3,37,hombre,0,Empleado
28,Millaray Ramos,68353685-7,56,hombre,30,Empleado
29,Aaron Roa,99428020-1,83,mujer,41,Empleado
30,Martin Rojas,24840265-2,66,hombre,46,Empleado
31,Yael Salcedo,79850677-3,81,hombre,59,Empleado
32,Caceres San,95741388-9,57,mujer,65,Empleado
33,Lucas Santibanez,77210598-3,63,hombre,11,Empleado
34,Luis Torres,96187015-1,57,mujer,46,Empleado
35,Zithlali Ulloa,68120110-6,28,hombre,100,Empleado
36,Javiera Vasquez,56619171-7,66,hombre,58,Empleado
37,Jorge Zumelzu,51616764-5,15,mujer,22,Empleado
38,Alan Aceiton,60916764-5,97,hombre,69,Empleado
39,Paz Aguayo,81252987-0,41,mujer,12,Empleado
40,Flores Al,59192155-k,67,hombre,66,Empleado
41,Lucas Araya,41391265-2,81,hombre,92,Empleado
42,Daniela Arriagada,76041278-3,75,mujer,43,Empleado
43,Benjamin Barria,78158392-8,43,mujer,76,Empleado
44,Franco Benavides,49995619-3,97,mujer,33,Empleado
45,Genesis Cardenas,37156185-4,59,mujer,66,Empleado
46,Sergio Cardenas,85410626-0,24,hombre,2,Empleado
47,Antonio Carrasco,10116173-0,72,hombre,3,Empleado
48,Ian Carrera,88757035-3,30,mujer,51,Empleado
49,Barbara Carvajal,68583239-9,42,hombre,97,Empleado
50,Ignacio Castillo,35492826-4,59,hombre,5,Empleado
51,Alondra Chamorro,86683089-4,91,mujer,5,Empleado
52,Francisca Colima,28320055-8,67,hombre,96,Empleado
53,Constanza Conejeros,86043030-4,87,mujer,93,Empleado
54,Ivanna Contreras,27604578-4,44,mujer,15,Empleado
55,Martin Flores,35412165-4,78,mujer,35,Empleado
56,Constanza Gomez,80869010-1,40,hombre,44,Empleado
57,Franco Gomez,86555166-5,34,mujer,96,Empleado
58,Javiera Grandin,61036645-7,10,hombre,39,Empleado
59,Javier Hurtado,40373818-2,84,mujer,33,Empleado
60,Lucas Jara,24149278-8,84,mujer,95,Empleado
61,Benjamin Jeria,43161018-3,95,mujer,86,Empleado
62,Felipe Jilberto,67938721-9,16,hombre,44,Empleado
63,Constanza Jorquera,18768050-6,32,hombre,38,Empleado
64,Javiera Lizama,49881324-0,54,hombre,46,Empleado
65,Catalina Lopez,36578275-k,28,mujer,53,Empleado
66,Isidora Loyola,92505908-0,83,hombre,16,Empleado
67,Bruno Mardones,16483997-4,36,hombre,39,Empleado
68,Antonella Molina,91957885-8,53,mujer,101,Empleado
69,Escarlet Morales,85930746-9,31,hombre,30,Empleado
70,Javier Moya,43630977-5,30,mujer,31,Empleado
71,Xavier Oyarzun,70876733-6,62,hombre,27,Empleado
72,Silvio Peralta,36731956-9,81,mujer,56,Empleado
73,Yohao Portales,42127645-5,70,hombre,74,Empleado
74,Cesia Ramos,38158176-4,85,mujer,65,Empleado
75,Francisca Reyes,48292072-1,33,mujer,37,Empleado
76,Benjamin Rodriguez,86434438-0,30,mujer,50,Empleado
77,Juan Sanchez,62974576-9,86,mujer,80,Empleado
78,Constanza Sepulveda,71881591-6,53,hombre,24,Empleado
79,Lucas Vasquez,16670974-1,74,hombre,47,Empleado
80,Matias Vega,19027799-2,52,hombre,32,Empleado
81,Isidora Villarroel,36669949-k,98,mujer,33,Jefe
82,Victoria Adasme,58179139-9,75,hombre,55,Empleado
83,Alonso Agurto,80146994-9,41,mujer,52,Empleado
84,Carlos Antifil,34902561-2,99,hombre,16,Empleado
85,Maria Aranda,27811535-6,34,mujer,49,Empleado
86,Ignacio Arias,37653211-9,17,hombre,89,Empleado
87,Rocio Bernales,78734770-3,95,hombre,99,Empleado
88,Amaro Bravo,82260254-1,70,mujer,53,Empleado
89,SeBastian Bustos,92253121-8,34,hombre,92,Empleado
90,Jacob Cartes,53325503-5,98,hombre,56,Empleado
91,Martin Celis,27423756-2,84,hombre,86,Empleado
92,Noelia Cid,56840142-5,21,hombre,64,Empleado
93,Hugo Cordova,99233768-0,37,hombre,16,Empleado
94,Rocio Cuello,95541819-0,30,hombre,72,Empleado
95,Monserrat Echeverria,61773216-5,28,hombre,13,Empleado
96,Fernando Escobar,13635178-8,14,hombre,11,Empleado
97,Emily Farias,93310611-k,40,hombre,92,Empleado
98,Isidora Fernandez,85073231-0,89,hombre,15,Empleado
99,Antonella Garrido,41601315-2,49,mujer,0,Empleado
100,Conzuelo Gonzalez,98121429-3,82,hombre,20,Empleado
101,Josefa Huaiquil,80511365-0,53,mujer,64,Empleado
102,Millaray Jimenez,62815723-5,88,hombre,46,Empleado
103,Alondra Llanquimin,33734821-1,30,hombre,59,Empleado
104,Fernando Lopez,25806104-7,76,hombre,29,Empleado
105,Valeria Martinez,23514054-3,74,mujer,51,Empleado
106,Alexia Matus,72309503-4,18,mujer,20,Empleado
107,Martin Neculman,48908396-5,51,mujer,67,Empleado
108,Isidora Orellana,71198104-7,90,hombre,79,Empleado
109,Luis Pacheco,76534733-5,37,hombre,95,Empleado
110,Carlos Pinto,73222374-6,31,mujer,82,Empleado
111,Diego Plaza,28597225-6,25,mujer,34,Empleado
112,Francisca Roblero,32700742-4,97,mujer,9,Empleado
113,Padme Rodriguez,28118803-8,47,hombre,11,Empleado
114,Benjamin Saavedra,34572846-5,34,mujer,47,Empleado
115,Millaray Salazar,42723522-k,65,mujer,32,Empleado
116,Deyanira Santander,15591154-9,73,mujer,84,Empleado
117,Yasmin Suarez,16636734-4,73,mujer,45,Empleado
118,Paloma Sucarrat,63795324-9,87,hombre,73,Empleado
119,Kitzy Vega,65538426-k,53,mujer,79,Empleado
120,Enygger Videla,62942419-9,45,hombre,70,Empleado
121,Simona Vilches,33236616-5,98,mujer,79,Empleado
122,Cristobal Yanka,31679088-7,44,hombre,27,Empleado
123,Abigail Alarcon,82581279-2,48,mujer,14,Empleado
124,Pablo Salazar,35069575-3,52,hombre,11,Empleado
125,Antonio Salinas,99927220-7,83,hombre,47,Empleado
126,Leandro Aravena,70106627-8,34,hombre,52,Empleado
127,Anais Oyarzon,43953571-7,77,mujer,86,Empleado
128,Victoria Toloza,51194123-7,73,mujer,31,Empleado
129,Dominique Contreras,75490842-4,71,hombre,62,Empleado
130,Alessandro Pizarro,64336012-8,25,hombre,44,Empleado
131,Andrea Aguilar,54023774-3,11,mujer,25,Empleado
132,Yadhira Cifuentes,45008209-0,97,mujer,20,Jefe
133,Millaray Meza,40538537-6,89,mujer,30,Empleado
134,Kiara Moya,12187269-2,46,mujer,72,Empleado
135,Celine Yanez,27952560-4,74,hombre,77,Empleado
136,Andrea Sanhueza,55823148-3,67,mujer,58,Empleado
